imdb_id,platform_id
tt0032455,P01
tt0065198,P01
tt0071762,P01
tt0075925,P01
tt0077631,P01
tt0083564,P01
tt0084237,P01
tt0090503,P01
tt0090633,P01
tt0093148,P01
tt0096707,P01
tt0097523,P01
tt0098067,P01
tt0099878,P01
tt0101329,P01
tt0104254,P01
tt0105929,P01
tt0105941,P01
tt0106064,P01
tt0106611,P01
tt0106881,P01
tt0107131,P01
tt0107688,P01
tt0108526,P01
tt0108778,P01
tt0108847,P01
tt0109190,P01
tt0109287,P01
tt0109520,P01
tt0110006,P01
tt0110366,P01
tt0112453,P01
tt0115319,P01
tt0116830,P01
tt0117571,P01
tt0118617,P01
tt0119137,P01
tt0119718,P01
tt0119918,P01
tt0120036,P01
tt0120484,P01
tt0120587,P01
tt0120595,P01
tt0120630,P01
tt0120794,P01
tt0120855,P01
tt0120910,P01
tt0120917,P01
tt0121164,P01
tt0125454,P01
tt0126805,P01
tt0127388,P01
tt0129167,P01
tt0129924,P01
tt0138749,P01
tt0139615,P01
tt0147800,P01
tt0147926,P01
tt0158552,P01
tt0163986,P01
tt0165598,P01
tt0182576,P01
tt0186311,P01
tt0197230,P01
tt0200276,P01
tt0208185,P01
tt0209475,P01
tt0216199,P01
tt0221027,P01
tt0230011,P01
tt0233041,P01
tt0233277,P01
tt0238784,P01
tt0247882,P01
tt0250274,P01
tt0251127,P01
tt0262151,P01
tt0263317,P01
tt0267913,P01
tt0275847,P01
tt0301454,P01
tt0306841,P01
tt0327597,P01
tt0330251,P01
tt0331632,P01
tt0337812,P01
tt0338459,P01
tt0344864,P01
tt0362270,P01
tt0364845,P01
tt0368530,P01
tt0371606,P01
tt0371746,P01
tt0377156,P01
tt0381707,P01
tt0381971,P01
tt0382937,P01
tt0384696,P01
tt0389790,P01
tt0390022,P01
tt0393421,P01
tt0395699,P01
tt0397442,P01
tt0398417,P01
tt0401398,P01
tt0407121,P01
tt0409591,P01
tt0411008,P01
tt0413573,P01
tt0424279,P01
tt0425210,P01
tt0437863,P01
tt0439100,P01
tt0441773,P01
tt0445935,P01
tt0452046,P01
