IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type,Duplicate,Duplicate1
tt0381707,White Chicks,2004,PG-13,23 Jun 2004,109 min,"Comedy, Crime",Keenen Ivory Wayans,"Keenen Ivory Wayans, Shawn Wayans, Marlon Wayans","Marlon Wayans, Shawn Wayans, Busy Philipps",English,United States,5.6,15%,41/100,movie,False,False
tt0425210,Lucky Number Slevin,2006,R,07 Apr 2006,110 min,"Crime, Drama, Thriller",Paul McGuigan,Jason Smilovic,"Josh Hartnett, Ben Kingsley, Morgan Freeman",English,"United States, Germany, United Kingdom, Canada",7.7,,53/100,movie,False,False
tt0413573,Grey's Anatomy,2005–,TV-14,27 Mar 2005,41 min,"Drama, Romance",N/A,Shonda Rhimes,"Ellen Pompeo, Chandra Wilson, James Pickens Jr.",English,United States,7.5,,,series,False,False
tt0455275,Prison Break,2005–2017,TV-14,29 Aug 2005,44 min,"Action, Crime, Drama",N/A,Paul T. Scheuring,"Dominic Purcell, Wentworth Miller, Amaury Nolasco","English, Arabic, Spanish","United Kingdom, United States",8.3,,,series,False,False
tt0460649,How I Met Your Mother,2005–2014,TV-14,19 Sep 2005,22 min,"Comedy, Romance",N/A,"Carter Bays, Craig Thomas","Josh Radnor, Jason Segel, Cobie Smulders","English, Persian, Chinese",United States,8.3,,,series,False,False
tt0460681,Supernatural,2005–2020,TV-14,13 Sep 2005,44 min,"Drama, Fantasy, Horror",N/A,Eric Kripke,"Jared Padalecki, Jensen Ackles, Jim Beaver",English,"United States, Canada",8.4,,,series,False,False
tt0903747,Breaking Bad,2008–2013,TV-MA,20 Jan 2008,49 min,"Crime, Drama, Thriller",N/A,Vince Gilligan,"Bryan Cranston, Aaron Paul, Anna Gunn","English, Spanish",United States,9.4,96%,,series,False,False
tt1405406,The Vampire Diaries,2009–2017,TV-14,10 Sep 2009,43 min,"Drama, Fantasy, Horror",N/A,"Julie Plec, Kevin Williamson","Nina Dobrev, Paul Wesley, Ian Somerhalder",English,United States,7.7,,,series,False,False
tt1520211,The Walking Dead,2010–2022,TV-14,31 Oct 2010,44 min,"Drama, Horror, Thriller",N/A,"Frank Darabont, Angela Kang","Andrew Lincoln, Norman Reedus, Melissa McBride",English,United States,8.2,,,series,False,False
tt1578873,Pretty Little Liars,2010–2017,TV-14,08 Jun 2010,44 min,"Drama, Mystery, Romance",N/A,I. Marlene King,"Troian Bellisario, Ashley Benson, Lucy Hale",English,United States,7.4,,,series,False,False
tt1843230,Once Upon a Time,2011–2018,TV-PG,23 Oct 2011,60 min,"Adventure, Fantasy, Romance",N/A,"Adam Horowitz, Edward Kitsis","Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla",English,United States,7.7,,,series,False,False
tt1475582,Sherlock,2010–2017,TV-14,24 Oct 2010,88 min,"Crime, Drama, Mystery",N/A,"Mark Gatiss, Steven Moffat","Benedict Cumberbatch, Martin Freeman, Una Stubbs",English,"United Kingdom, United States",9.1,,,series,False,False
tt1241317,Death Note,2017,TV-MA,25 Aug 2017,101 min,"Action, Crime, Drama",Adam Wingard,"Charley Parlapanides, Vlas Parlapanides, Jeremy Slater","Nat Wolff, LaKeith Stanfield, Margaret Qualley","English, Japanese, Spanish",United States,4.4,38%,43/100,movie,False,False
tt0409591,Naruto,2002–2007,TV-PG,10 Sep 2005,24 min,"Animation, Action, Adventure",N/A,Masashi Kishimoto,"Junko Takeuchi, Maile Flanagan, Kate Higgins","English, Japanese",Japan,8.3,,,series,False,False
tt1703148,The Hunter,2011,R,06 Oct 2011,100 min,"Adventure, Drama, Thriller",Daniel Nettheim,"Alice Addison, Wain Fimeri, Daniel Nettheim","Willem Dafoe, Sam Neill, Morgan Davies",English,Australia,6.7,72%,63/100,movie,False,False
tt6925620,Lottie Dottie Chicken,2014,N/A,N/A,N/A,N/A,N/A,N/A,N/A,English,Brazil,N/A,,,series,False,False
tt2193021,Arrow,2012–2020,TV-14,10 Oct 2012,42 min,"Action, Adventure, Crime",N/A,"Greg Berlanti, Marc Guggenheim, Andrew Kreisberg","Stephen Amell, Katie Cassidy, David Ramsey","English, Greek, Arabic, Russian, Chinese, Spanish, Japanese",United States,7.5,,,series,False,False
tt2085059,Black Mirror,2011–,TV-MA,04 Dec 2011,60 min,"Drama, Sci-Fi, Thriller",N/A,Charlie Brooker,"Daniel Lapaine, Hannah John-Kamen, Michaela Coel",English,United Kingdom,8.8,,,series,False,False
tt2632424,The Originals,2013–2018,TV-14,03 Oct 2013,45 min,"Drama, Fantasy, Horror",N/A,Julie Plec,"Joseph Morgan, Daniel Gillies, Claire Holt",English,United States,8.2,,,series,False,False
