IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type
tt0115082,3rd Rock from the Sun,1996–2001,TV-PG,09 Jan 1996,60 min,"Comedy, Family, Sci-Fi",N/A,"Bonnie Turner, Terry Turner","John Lithgow, Jane Curtin, Kristen Johnston",English,United States,7.7,None,None,series
tt0313202,An Angel for May,2002,TV-G,23 Dec 2002,95 min,"Drama, Family, Fantasy",Harley Cokeliss,"Melvin Burgess (based on the novel by), Peter Milligan (screenplay)","Tom Wilkinson, Charlotte Wakefield, Matthew Beard, Hugo Speer",English,United Kingdom,7.0,None,None,movie
tt0264366,And Never Let Her Go,2001,N/A,01 Apr 2001,200 min,"Crime, Drama, Mystery",Peter Levin,"Adam Greenman (teleplay), Ann Rule (book)","Mark Harmon, Rachel Ward, Kathryn Morris, Steven Eckholdt",English,United States,6.4,None,None,movie
tt0200323,Animal Tales,1997–,N/A,N/A,N/A,N/A,N/A,N/A,"Jennifer Badger, Brian Palermo",English,United States,N/A,None,None,series
tt0402619,Awesome Adventures,1998–2015,N/A,N/A,30 min,Documentary,N/A,N/A,"Mystro Clark, Anthony Montgomery",English,United States,6.6,None,None,series
tt0072472,Barney Miller,1975–1982,TV-PG,22 Aug 1974,30 min,"Comedy, Drama",N/A,"Danny Arnold, Theodore J. Flicker","Hal Linden, Abe Vigoda, Max Gail",English,United States,8.2,None,None,series
tt5539000,Bear Grylls: Survival School,2016–,N/A,10 Jan 2016,30 min,Reality-TV,N/A,N/A,"Bear Grylls, Callum Grainger, Charlie Woodward",English,United Kingdom,7.0,None,None,series
tt1595680,Being Human,2011–2014,TV-14,17 Jan 2011,44 min,"Drama, Fantasy, Horror",N/A,"Jeremy Carver, Anna Fricke","Sam Witwer, Meaghan Rath, Sam Huntington",English,"Canada, United States",7.5,None,None,series
tt0078569,Benson,1979–1986,TV-G,13 Sep 1979,30 min,"Comedy, Family",N/A,Susan Harris,"Robert Guillaume, James Noble, Inga Swenson",English,United States,7.1,None,None,series
tt11213708,Bestie Picks Bae,2019–,N/A,N/A,N/A,Reality-TV,N/A,N/A,"Amir Hisham Ouazzani, Sushant Adlakha, Olivia Baskett, Hector Mayorga",English,United States,N/A,None,None,series
tt2751074,Betrayal,2013–2014,TV-14,29 Sep 2013,60 min,Drama,N/A,"David Zabel, Frank Ketelaar, Robert Kievit","Hannah Ware, Henry Thomas, Wendy Moniz-Grillo",English,United States,7.1,None,None,series
tt0118268,Between Brothers,1997–1999,N/A,11 Sep 1997,30 min,Comedy,N/A,"Barry O'Brien, Cheryl Alu","Kadeem Hardison, Dondré T. Whitfield, Kelly Perine, Rachael Crawford",English,United States,8.1,None,None,series
tt0138956,Beyond Belief: Fact or Fiction,1997–2002,PG,25 May 1997,60 min,"Mystery, Thriller, Fantasy",N/A,Lynn Lehmann,"Jonathan Frakes, Don LaFontaine, James Brolin",English,United States,8.0,None,None,series
tt0262150,Black Books,2000–2004,TV-PG,09 Dec 2001,25 min,Comedy,N/A,Dylan Moran,"Dylan Moran, Bill Bailey, Tamsin Greig",English,United Kingdom,8.5,None,None,series
tt0844666,Blackout,2008,R,29 May 2008,120 min,"Horror, Mystery, Thriller",Rigoberto Castañeda,Ed Dougherty,"Amber Tamblyn, Aidan Gillen, Armie Hammer",English,United States,5.0,None,None,movie
tt3887992,Bondi Ink Tattoo Crew,2015–,TV-PG,01 Jul 2015,45 min,Reality-TV,N/A,N/A,"Megan Massacre, Shaun Bones, Jimi May",English,Australia,5.7,None,None,series
tt1411664,Bucky Larson: Born to Be a Star,2011,R,09 Sep 2011,97 min,Comedy,Tom Brady,"Adam Sandler, Allen Covert, Nick Swardson","Nick Swardson, Don Johnson, Christina Ricci",English,United States,3.2,3%,9/100,movie
tt0111899,Bramwell,1995–1998,TV-MA,22 May 1995,54 min,Drama,N/A,"Lucy Gannon, Harriet Davison, Tim Whitby","Jemma Redgrave, Ruth Sheen, David Calder",English,United Kingdom,8.0,None,None,series
tt13399556,Breaking Beauty,2020–,N/A,19 Nov 2020,N/A,N/A,N/A,N/A,N/A,English,United States,N/A,None,None,series
tt0412536,Brideshead Revisited,2008,PG-13,15 Aug 2008,133 min,"Drama, Romance",Julian Jarrold,"Andrew Davies, Jeremy Brock, Evelyn Waugh","Matthew Goode, Patrick Malahide, Hayley Atwell","English, Italian, Arabic, Latin, French","United Kingdom, Italy, Morocco, United States",6.7,62%,64/100,movie
tt0765010,Brothers,2009,R,04 Dec 2009,105 min,"Action, Drama, Thriller",Jim Sheridan,"David Benioff, Susanne Bier, Anders Thomas Jensen","Jake Gyllenhaal, Natalie Portman, Tobey Maguire",English,United States,7.1,64%,58/100,movie
tt0956036,Canterbury's Law,2008,N/A,10 Mar 2008,N/A,Drama,N/A,Dave Erickson,"Julianna Margulies, Ben Shenkman, Keith D. Robinson",English,United States,6.6,None,None,series
tt4594334,Capital,2015,N/A,24 Nov 2015,177 min,Drama,N/A,N/A,"Adeel Akhtar, Danny Ashok, Mona Goodwin",English,United Kingdom,6.8,None,None,series
tt0109376,"Car 54, Where Are You?",1994,PG-13,28 Jan 1994,89 min,Comedy,Bill Fishman,"Nat Hiken, Erik Tarloff, Ebbe Roe Smith","David Johansen, John C. McGinley, Fran Drescher",English,United States,2.5,0%,None,movie
tt0938567,Cashmere Mafia,2008,TV-PG,06 Jan 2008,60 min,"Comedy, Drama",N/A,Kevin Wade,"Lucy Liu, Frances O'Connor, Miranda Otto",English,United States,6.5,None,None,series
